[General]
AcquaintancesStatus|Conhecidos
Balanced|Balanceado
BFFsStatus|Melhores amigos
BombedStatus|Bêbado/a
BuzzedStatus|Alcoolizado/a
Cancel|Cancelar
ChooseUseWithItemLabel|Escolha qual item usar com...
CloseButton|Fechar
ColdShowerStatus|Banho frio
CombatEnergy|Energia
CombatStunned|ATORDOADO!
CombatYourHealth|Saúde
ContentUnderDevelopmentNotice|Este conteúdo ainda está em desenvolvimento. Estamos trabalhando nisso e o finalizaremos o mais rápido possível!
DebugConsoleHeader|Console de depuração
DebugConsoleSaveToLogButton|SALVAR NO LOG
DemoEndingWarning|A sessão de jogo será encerrada porque se trata de uma versão demo. Para a experiência completa, compre o jogo.
Dialogue-DrunkStanding|Neutro
Dialogue-FriendshipStanding|Neutro
Dialogue-LoveStanding|Neutro
DismissNarrationLabel|Clique em qualquer lugar para continuar...
DoesNotWantThat|não quer este item no momento.
DownloadingServerStories|Baixando as últimas histórias do servidor. Aguarde...
DownloadingServerStoriesError404|ERRO: última atualização de histórias não encontrada!
DownloadingServerStoriesGenericError|ERRO: Não foi possível baixar a última atualização de histórias do servidor! Certifique-se de que House Party tem acesso à internet e permissões no firewall e/ou antivírus, ou você pode não receber atualizações!
DownloadingServerStoriesUnknownError|ERRO: Erro desconhecido ao baixar os arquivos de histórias.
DrunkStatus|Embriagado/a
DuplicateNamedSaveDisclaimer|Um arquivo com esse nome já existe. Deseja sobrescrevê-lo?
EnterSaveNamePlaceholder|Digite um nome ou pressione Salvar para usar data e hora como nome...
ExtractingServerStoriesError|ERRO: ocorreu um erro ao escrever as histórias da Eek! Games na pasta de dados. Certifique-se de que o aplicativo tem permissões e que o antivírus não está bloqueando o acesso aos arquivos/pastas.
Feelin'GoodStatus|Animado/a
FriendsStatus|Amigos
FriendZoneStatus|Apenas amigos
GameOverDisclaimer|Pressione Esc para abrir o menu principal
GameOverLabel|Fim de jogo
GoodFriendsStatus|Bons amigos
GraphicsQualityHigh|Alta
GraphicsQualityLow|Baixa
GraphicsQualityMedium|Média
GraphicsQualityUltra|Ultra
GreatFriendsStatus|Grandes amigos
High|alta
InstallingServerStories|Últimos arquivos do servidor da Eek! Games baixados! Tentando extrair e instalar. Por favor, aguarde...
InterestedStatus|Interessado/a
InventoryElement|Inventário
InventoryHeader|INVENTÁRIO
LightlyBuzzedStatus|Levemente alcoolizado/a
LoadGame-HeaderText|CARREGAR JOGO
LoadGame-LastUpdatedOpportunities|Últimas oportunidades atualizadas
LoadGame-LatestMemories|Últimas memórias
LoadGame-ListOfSaves|Lista de salvamentos
LoveStatus|Amor
Low|baixa
LustStatus|Desejo
Medium|média
MemoriesElement|Memórias
No|Não
NotInterestedStatus|Não interessado/a
Off|Desligado
OpportunitiesElement|Oportunidades
OpportunityCompletedPopupDetails|Oportunidade concluída!
OpportunityDiscoveredPopupDetails|Oportunidade descoberta!
OpportunityFailedPopupDetails|Oportunidade falhou!
OpportunityMissedPopupDetails|Uma ou mais oportunidades perdidas!
OpportunityMissedPopupTitle|Oportunidades perdidas
OpportunityMissedWindowDetails|Uma ou mais oportunidades foram perdidas devido às suas escolhas.
OpportunityMissedWindowTitle|Oportunidades perdidas
OpportunityUpdatedPopupDetails|Oportunidade atualizada!
OrgasmReadyLabel|Orgasmo
OrgasmRestingLabel|Recuperando...
Performance|Desempenho
PluralAddedToInventory|adicionados/as ao inventário
Potato|baixa
Quality|Qualidade
QuestWindow-HideCompletedOpportunitesCheckbox|Ocultar concluídas
QuestWindow-HideMissedOpportunitiesCheckbox|Ocultar falhadas/perdidas
QuestWindow-MemoriesTab|Memórias
QuestWindow-OpportunitiesHeader|OPORTUNIDADES
QuestWindow-OpportunitiesTab|Oportunidades
SaveButton|Salvar
SaveGameHeader|SALVAR JOGO
SaveNameGenderFemale|Feminino
SaveNameGenderMale|Masculino
ShcwastedStatus|Muito bêbado/a
ShitListStatus|Lista negra
SingularAddedToInventory|Adicionado/a ao inventário
SoberStatus|Sóbrio/a
StoryIntegrityCheckError|ERRO: História não jogável devido à falha na verificação de integridade. Arquivos ausentes ou corrompidos, ou versão inválida da história.
TheirOrgasmLabel|Parceiro/a
Ultra|ultra
VeryLow|muito baixa
Yes|Sim
YourOrgasmLabel|Você
