[General]
_done|Feito
_restoreDefaultsButtonLabel|Restaurar
CombatModeText|ModoCombate
ControllerXSensitivityText|Sensibilidade eixo X do controle:
ControllerYSensitivityText|Sensibilidade eixo Y do controle:
Crouch|Agachar
FlashBreastsText|MostrarSeios
InputHeader|Entrada
InputText|Entrada
InventoryText|Inventário
InvertMouseYText|Inverter eixo Y do mouse:
LoadGameText|CarregarJogo
LookText|Olhar
MasturbateText|Masturbação
MemoriesText|Memórias
MouseSensitivityText|Sensibilidade do mouse:
MoveText|Movimento
OpportunitiesText|Oportunidades
PeeText|Urinar
PenisText|Pênis
PlayerActionsText|Ações do jogador
QuickSaveText|Salvamento rápido
RightHandMode|Modo mão direita:
RighthandText|MãoDireita
RunText|Correr
SaveGameText|Opções
UIRadialText|MenuRadial

